"Filename","New_Process_Name"
"cmdkey.exe","c:\windows\system32\cmdkey.exe"
"cmdl32.exe","c:\windows\system32\cmdl32.exe"
"cmmon32.exe","c:\windows\system32\cmmon32.exe"
"cmstp.exe","c:\windows\system32\cmstp.exe"
"cofire.exe","c:\windows\system32\cofire.exe"
"colorcpl.exe","c:\windows\system32\colorcpl.exe"
"comp.exe","c:\windows\system32\comp.exe"
"compact.exe","c:\windows\system32\compact.exe"
"compmgmtlauncher.exe","c:\windows\system32\compmgmtlauncher.exe"
"computerdefaults.exe","c:\windows\system32\computerdefaults.exe"
"configure-smremoting.exe","c:\windows\system32\configure-smremoting.exe"
"conhost.exe","c:\windows\system32\conhost.exe"
"consent.exe","c:\windows\system32\consent.exe"
"control.exe","c:\windows\system32\control.exe"
"convert.exe","c:\windows\system32\convert.exe"
"credentialuibroker.exe","c:\windows\system32\credentialuibroker.exe"
"credwiz.exe","c:\windows\system32\credwiz.exe"
"cscript.exe","c:\windows\system32\cscript.exe"
"csrss.exe","c:\windows\system32\csrss.exe"
"csvde.exe","c:\windows\system32\csvde.exe"
"ctfmon.exe","c:\windows\system32\ctfmon.exe"
"cttune.exe","c:\windows\system32\cttune.exe"
"cttunesvr.exe","c:\windows\system32\cttunesvr.exe"
"dashost.exe","c:\windows\system32\dashost.exe"
"dcdiag.exe","c:\windows\system32\dcdiag.exe"
"dcgpofix.exe","c:\windows\system32\dcgpofix.exe"
"dcomcnfg.exe","c:\windows\system32\dcomcnfg.exe"
"dcpromo.exe","c:\windows\system32\dcpromo.exe"
"ddodiag.exe","c:\windows\system32\ddodiag.exe"
"defrag.exe","c:\windows\system32\defrag.exe"
"deviceeject.exe","c:\windows\system32\deviceeject.exe"
"devicepairingwizard.exe","c:\windows\system32\devicepairingwizard.exe"
"deviceproperties.exe","c:\windows\system32\deviceproperties.exe"
"dfrgui.exe","c:\windows\system32\dfrgui.exe"
"dfscmd.exe","c:\windows\system32\dfscmd.exe"
"dfsdiag.exe","c:\windows\system32\dfsdiag.exe"
"dfsfrshost.exe","c:\windows\system32\dfsfrshost.exe"
"dfsrmig.exe","c:\windows\system32\dfsrmig.exe"
"dfsrs.exe","c:\windows\system32\dfsrs.exe"
"dfssvc.exe","c:\windows\system32\dfssvc.exe"
"dfsutil.exe","c:\windows\system32\dfsutil.exe"
"dialer.exe","c:\windows\system32\dialer.exe"
"diskpart.exe","c:\windows\system32\diskpart.exe"
"diskperf.exe","c:\windows\system32\diskperf.exe"
"diskraid.exe","c:\windows\system32\diskraid.exe"
"diskshadow.exe","c:\windows\system32\diskshadow.exe"
